iter	RMSE
0	38.82189494
1	38.40860187
2	37.71798083
3	37.08560742
4	36.5468738
5	36.0192891
6	35.51214158
7	35.09509343
8	34.4794737
9	34.1001872
10	33.51133059
11	33.19964745
12	32.90323178
13	32.38508726
14	32.0302595
15	31.60530929
16	31.10737528
17	30.62072453
18	30.24630236
19	29.80972932
20	29.386066
21	29.04623622
22	28.66044151
23	28.34967504
24	27.92564987
25	27.58457992
26	27.20538399
27	27.04335353
28	26.88891397
29	26.53133609
30	26.23779044
31	26.07585605
32	25.89457238
33	25.7126226
34	25.60330068
35	25.48811367
36	25.35234001
37	25.19507075
38	24.87772016
39	24.72582836
40	24.62634045
41	24.38331742
42	24.27104677
43	24.1993495
44	24.08992048
45	23.96026011
46	23.86890573
47	23.69752411
48	23.44857019
49	23.39062265
50	23.29824697
51	23.07133833
52	22.98653374
53	22.77695837
54	22.55436937
55	22.43447455
56	22.38301786
57	22.16936089
58	22.00231496
59	21.95235312
60	21.78354282
61	21.70876683
62	21.61655272
63	21.44769871
64	21.26064634
65	21.07050965
66	20.8788528
67	20.82854471
68	20.64363268
69	20.56682099
70	20.51987956
71	20.47625486
72	20.35296899
73	20.28239038
74	20.15839324
75	20.08405728
76	20.04233335
77	19.92797729
78	19.76683626
79	19.70977194
80	19.65059564
81	19.54477455
82	19.51395651
83	19.49079644
84	19.42495823
85	19.37048243
86	19.29716196
87	19.25148869
88	19.2046996
89	19.12243756
90	19.08204588
91	18.99909549
92	18.95503655
93	18.82600491
94	18.7824106
95	18.68044481
96	18.58791941
97	18.53221679
98	18.48092545
99	18.40848804
100	18.35416215
101	18.23134096
102	18.17489738
103	18.02693523
104	17.95338367
105	17.90246668
106	17.8644399
107	17.80803766
108	17.77580384
109	17.74313388
110	17.66518969
111	17.55446011
112	17.52849403
113	17.47824316
114	17.43270567
115	17.38776384
116	17.33863275
117	17.29907024
118	17.25975806
119	17.19355809
120	17.16213508
121	17.10861013
122	17.06861348
123	17.04034941
124	17.00000854
125	16.97290509
126	16.86921149
127	16.76453059
128	16.68744901
129	16.6634176
130	16.63014689
131	16.55804008
132	16.49767244
133	16.47656494
134	16.4208079
135	16.37815702
136	16.35087106
137	16.31433425
138	16.22199032
139	16.20219023
140	16.19562287
141	16.16138734
142	16.07814742
143	15.99301287
144	15.93468272
145	15.90112618
146	15.8554707
147	15.81369526
148	15.75067649
149	15.70394339
150	15.68172796
151	15.66703484
152	15.62607675
153	15.57562502
154	15.55981807
155	15.53376344
156	15.49617763
157	15.45721553
158	15.41685371
159	15.35222443
160	15.29743924
161	15.20758321
162	15.15248744
163	15.12329971
164	15.08798486
165	14.99904435
166	14.9136629
167	14.87930472
168	14.84898384
169	14.81008009
170	14.73273381
171	14.71763526
172	14.68454758
173	14.66490995
174	14.62160001
175	14.55432163
176	14.51913598
177	14.44264978
178	14.42716798
179	14.37103327
180	14.28695145
181	14.25974672
182	14.18246423
183	14.16111002
184	14.12731615
185	14.05421758
186	14.03842016
187	14.01050059
188	13.98264003
189	13.94972934
190	13.8825964
191	13.84795689
192	13.76623332
193	13.72905535
194	13.70212239
195	13.66238036
196	13.64759924
197	13.6133556
198	13.56981475
199	13.50922749
200	13.49029388
201	13.4480425
202	13.38099498
203	13.36167437
204	13.33428684
205	13.26881218
206	13.23529015
207	13.1739708
208	13.15297038
209	13.13482493
210	13.10729955
211	13.0843361
212	13.06051644
213	13.01645521
214	12.96946197
215	12.92862395
216	12.89251474
217	12.84932331
218	12.84073125
219	12.8046067
220	12.77155865
221	12.75358972
222	12.71718352
223	12.67780112
224	12.62367148
225	12.58939266
226	12.5407927
227	12.49765275
228	12.4720905
229	12.44653796
230	12.42884404
231	12.39682615
232	12.36628085
233	12.34159324
234	12.31205528
235	12.292891
236	12.26311714
237	12.24493378
238	12.21256108
239	12.18339047
240	12.15691255
241	12.1261682
242	12.09684606
243	12.07948045
244	12.06234306
245	12.03889223
246	12.00064002
247	11.99378348
248	11.97673192
249	11.94995361
250	11.91057444
251	11.89910194
252	11.87326826
253	11.83919968
254	11.79350023
255	11.77632076
256	11.75129908
257	11.72284726
258	11.69988653
259	11.68012636
260	11.67187943
261	11.63731162
262	11.6209217
263	11.60025551
264	11.58819547
265	11.57697633
266	11.56407892
267	11.54694618
268	11.52565935
269	11.51957437
270	11.50315581
271	11.49175524
272	11.46783201
273	11.43837265
274	11.387734
275	11.36675817
276	11.34430097
277	11.33288607
278	11.31313824
279	11.28576435
280	11.26567233
281	11.24385669
282	11.2248271
283	11.21808903
284	11.19834339
285	11.17488201
286	11.15464338
287	11.14155002
288	11.12582638
289	11.11279522
290	11.09883655
291	11.07638457
292	11.06111242
293	11.03053939
294	11.01730937
295	11.01037352
296	10.98719132
297	10.97557341
298	10.9552478
299	10.92955328
300	10.89540958
301	10.86629587
302	10.8206811
303	10.78256657
304	10.7562365
305	10.74985182
306	10.73734465
307	10.71340752
308	10.68357646
309	10.6599151
310	10.63734606
311	10.61545212
312	10.57355471
313	10.56487881
314	10.54083217
315	10.52611068
316	10.52124741
317	10.49705027
318	10.46668987
319	10.46324534
320	10.41853439
321	10.3899265
322	10.36963641
323	10.36475176
324	10.35350821
325	10.33442974
326	10.31613527
327	10.28755286
328	10.27314975
329	10.25742798
330	10.22044488
331	10.21742953
332	10.21052846
333	10.19271146
334	10.16993191
335	10.15195783
336	10.13518934
337	10.12058981
338	10.10005056
339	10.08023752
